"SampleNumber","DateReceived","BoxTempNoReceipt","Country","DurabilityDate","TempAtCollection","ConditionOfSample","ProductWeightInPounds","CostOfChicken","TypeOfChicken","PackagingAtmosphere","PackagingDetails","NeckSkinWeightInSample","Test","Result","Units","Species","MethodEvalPhase"
"CNI41","2016-04-18","4.8","Northern Ireland","2016-04-23","2.8","Satisfactory","1350","3.65","Standard","Modified Atmosphere","Other","7","Campylobacter spp - enumeration cfu/g    NS","<10","CFU/g Neck","","1"
"CNI41","2016-04-18","4.8","Northern Ireland","2016-04-23","2.8","Satisfactory","1350","3.65","Standard","Modified Atmosphere","Other","7","Campylobacter spp - enumeration cfu/g    BS","<10","CFU/g Back","","1"
"CNI41","2016-04-18","4.8","Northern Ireland","2016-04-23","2.8","Satisfactory","1350","3.65","Standard","Modified Atmosphere","Other","","Campylobacter spp  - enumeration cfu/ml  CR","<1","CFU/ml Rinse","","1"
"CNI42","2016-04-18","4.8","Northern Ireland","2016-04-24","2.8","Satisfactory","1478","6.28","Free Range","Modified Atmosphere","Other","18","Campylobacter spp - enumeration cfu/g    NS","20","CFU/g Neck","C. jejuni","1"
"CNI42","2016-04-18","4.8","Northern Ireland","2016-04-24","2.8","Satisfactory","1478","6.28","Free Range","Modified Atmosphere","Other","18","Campylobacter spp - enumeration cfu/g    BS","40","CFU/g Back","C. jejuni","1"
"CNI42","2016-04-18","4.8","Northern Ireland","2016-04-24","2.8","Satisfactory","1478","6.28","Free Range","Modified Atmosphere","Other","","Campylobacter spp  - enumeration cfu/ml  CR","100","CFU/ml Rinse","C. jejuni","1"
"CNI43","2016-04-18","4.8","Northern Ireland","2016-04-21","3.8","Satisfactory","1800","5.49","Standard","Modified Atmosphere","Other","16","Campylobacter spp - enumeration cfu/g    NS","<10","CFU/g Neck","","1"
"CNI43","2016-04-18","4.8","Northern Ireland","2016-04-21","3.8","Satisfactory","1800","5.49","Standard","Modified Atmosphere","Other","16","Campylobacter spp - enumeration cfu/g    BS","<10","CFU/g Back","","1"
"CNI43","2016-04-18","4.8","Northern Ireland","2016-04-21","3.8","Satisfactory","1800","5.49","Standard","Modified Atmosphere","Other","","Campylobacter spp  - enumeration cfu/ml  CR","140","CFU/ml Rinse","C. jejuni","1"
"CNI44","2016-04-18","4.8","Northern Ireland","2016-04-23","3.4","Satisfactory","1422","4.49","Standard","Modified Atmosphere","Roast in Bag","12","Campylobacter spp - enumeration cfu/g    NS","<10","CFU/g Neck","","1"
"CNI44","2016-04-18","4.8","Northern Ireland","2016-04-23","3.4","Satisfactory","1422","4.49","Standard","Modified Atmosphere","Roast in Bag","12","Campylobacter spp - enumeration cfu/g    BS","<10","CFU/g Back","","1"
"CNI44","2016-04-18","4.8","Northern Ireland","2016-04-23","3.4","Satisfactory","1422","4.49","Standard","Modified Atmosphere","Roast in Bag","","Campylobacter spp  - enumeration cfu/ml  CR","<1","CFU/ml Rinse","","1"
"LO1608203-01","2016-04-18","2.7","England","2016-04-24","2.1","Satisfactory","1546","7.25","Free range","Modified Atmosphere","Roast-in-bag","18","Campylobacter spp - enumeration cfu/g","72","CFU/g Neck","C. jejuni","1"
"LO1608203-01","2016-04-18","2.7","England","2016-04-24","2.1","Satisfactory","1546","7.25","Free range","Modified Atmosphere","Roast-in-bag","","Campylobacter spp  - enumeration cfu/cm2","17","CFU/ml Rinse","Campylobacter spp.","1"
"LO1608203-01","2016-04-18","2.7","England","2016-04-24","2.1","Satisfactory","1546","7.25","Free range","Modified Atmosphere","Roast-in-bag","18","Campylobacter spp - enumeration per Swab","110","CFU/g Back","C. jejuni","1"
